X 	 Y 	 Z 	 Phi 	 Theta 	 Psi 	 Vx 	 Vy 	 Vz 	 dPhi 	 dTheta 	 dPsi 	Xd 	 Yd 	 Zd 	 Phid 	 Thetad 	 Psid 	  t
-3.000	  0.000	  1.196	 -0.000	  0.000	 -0.000	  0.000	  0.000	 -0.126	 -0.000	  0.000	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.102	  0.000	  0.575	 
-3.000	  0.000	  1.191	 -0.000	  0.004	 -0.000	  0.000	  0.000	 -0.149	 -0.000	  0.110	 -0.000	  3.000	  0.000	  1.200	 -0.000	  0.089	  0.000	  1.333	 
-3.000	  0.000	  1.187	 -0.000	  0.006	  0.000	  0.002	  0.000	 -0.102	 -0.000	  0.060	  0.000	  3.000	  0.000	  1.200	  0.000	  0.086	  0.000	  1.365	 
-3.000	  0.000	  1.186	 -0.000	  0.007	 -0.000	  0.004	  0.000	 -0.043	 -0.000	  0.053	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.088	  0.000	  1.394	 
-3.000	  0.000	  1.186	 -0.000	  0.010	 -0.000	  0.008	  0.000	  0.006	 -0.000	  0.087	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.092	  0.000	  1.446	 
-2.999	  0.000	  1.188	 -0.000	  0.014	 -0.000	  0.013	  0.000	  0.040	 -0.000	  0.121	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.096	  0.000	  1.463	 
-2.998	  0.000	  1.190	 -0.000	  0.019	 -0.000	  0.020	  0.000	  0.062	 -0.000	  0.137	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.099	  0.000	  1.496	 
-2.997	  0.000	  1.192	 -0.000	  0.023	 -0.000	  0.029	  0.000	  0.075	 -0.000	  0.134	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.100	  0.000	  1.528	 
-2.996	  0.000	  1.195	 -0.000	  0.027	 -0.000	  0.040	  0.000	  0.083	 -0.000	  0.119	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.099	  0.000	  1.562	 
-2.994	  0.000	  1.198	 -0.000	  0.031	 -0.000	  0.053	  0.000	  0.086	 -0.000	  0.100	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.097	  0.000	  1.594	 
