X 	 Y 	 Z 	 Phi 	 Theta 	 Psi 	 Vx 	 Vy 	 Vz 	 dPhi 	 dTheta 	 dPsi 	Xd 	 Yd 	 Zd 	 Phid 	 Thetad 	 Psid 	  t
-3.000	  0.000	  0.200	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.518	 
-3.000	  0.000	  0.196	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.073	 
-3.000	  0.000	  0.191	  0.000	 -0.000	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.136	 
-3.000	  0.000	  0.187	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.001	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.235	 
-3.000	  0.000	  0.185	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.002	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.628	 
-3.000	  0.000	  0.184	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.004	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.672	 
-3.000	  0.000	  0.185	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.007	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.705	 
-3.000	  0.000	  0.187	  0.000	  0.001	  0.000	  0.000	  0.000	  0.000	  0.000	  0.010	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.739	 
-3.000	  0.000	  0.189	  0.000	  0.001	  0.000	  0.000	  0.000	  0.000	  0.000	  0.014	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.773	 
-3.000	  0.000	  0.192	  0.000	  0.002	  0.000	  0.000	  0.000	  0.000	  0.000	  0.018	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.805	 
-3.000	  0.000	  0.195	  0.000	  0.003	  0.000	  0.000	  0.000	  0.000	  0.000	  0.022	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.838	 
-3.000	  0.000	  0.199	  0.000	  0.003	  0.000	  0.000	  0.000	  0.000	  0.000	  0.027	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.878	 
-2.999	  0.000	  0.203	  0.000	  0.005	  0.000	  0.000	  0.000	  0.000	  0.000	  0.031	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.911	 
-2.999	  0.000	  0.207	  0.000	  0.006	  0.000	  0.000	  0.000	  0.000	  0.000	  0.036	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.947	 
-2.999	  0.000	  0.211	  0.000	  0.007	  0.000	  0.000	  0.000	  0.000	  0.000	  0.041	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  1.980	 
-2.998	  0.000	  0.214	  0.000	  0.009	  0.000	  0.000	  0.000	  0.000	  0.000	  0.045	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  2.014	 
